nickname,timestamp,comment
kirei,2024.05.29. 01:11,"스카이 캐슬만큼 인상적인 1화를 본 적 없고, 스카이 캐슬의 주연 염정아같은 완벽한 주인공 또한 없다. 여전히 저평가받고 있는 염정아 배우. 드라마를 보는 내내 한서진의 연기에 감탄하고 또 감탄한다"
알라까비 또깔라비,2024.05.26. 15:21,선재업고뛰어 보는 중인데 김태성이 울면서 얘기하는 장면에서 엇?! 이사람!! 박영재 였네!! 엄마한테 울면서 얘기했을때 너무 인상깊었던게 뇌리에 박혔나봄!! 오~ 글구보니 강예서랑 우정출연 한거였네ㅎㅎ 반갑소이다!ㅎ
이시스,2024.05.06. 00:02,방영당시는 그냥 재밌게 봤다가 아이가 학생이 된 지금 다시 정주행하다보니 정말 촘촘히 잘 만든 드라마란 걸 느껴요. 뒤틀린 얘기라고 하는데 저는 대치동은 안살아도 너무 공감가는 스토리이고 현실 반영이 잘된 드라마 입니다. 이 드라마 이후 교육관련 드라마를 이 정도로 진지하게 접근한 작품은 없는 듯 합니다.
바보,2024.04.01. 17:14,다시 보기. 시작~입니다
loveissssssss,2024.03.16. 00:07,이태란이 김서형하고 대화내용 녹음해서 제츨하면 증거 자료가 안 되는 건가요?
suyu****,2024.02.14. 21:31,애들 볼까 겁나네요
suyu****,2024.02.14. 21:30,넷플릭스 보다가 시청율이 높다해서 봤는데 작가 심리상태가 정상은 아닌듯 비틀기를 너무 심하게 했네요 지금 수험 준비하는애들이 포지 않았으면 하는 바램입니다
Eusljxoeos,2024.01.08. 23:30,강예서역 했던  배우는 연기가; 스카이캐슬에 나오는것만봐서 모르겠지만..나올때마다 스킵만 하게되네
열일하는네오,2023.12.15. 19:54,잘 만든 드라마
열일하는네오,2023.12.15. 19:54,연속 방송 보고 있어요
미소짱,2023.12.14. 23:09,대한민국 부모는 꼭봐야할 드라마 내가투영되어 보였다 좀 더 일찍 이드라마가 세상에나와 봤다면 난 더 애들을 잔키우지않았을까.. 강추~~~~
어쩔,2023.12.12. 05:40,아직 13회 보고있지만 진짜 다시봐도 명작이다.. ㅎㅎ뒤로 갈수록 좀 스토리가 이상했던거 같은 기억이.. 살짝 있지만 ㅋㅋ
ysd9****,2023.12.06. 23:25,내 군대시절 드라마 연등때 줄기차게봤던 기억나네
닮은살걀,2023.11.22. 13:02,이게 벌써 5년 전 드라마라니 지금 다시 봐도 너무 재밌당ㅋㅋ 물론 결말은 거지같지만...
5564126,2023.11.20. 02:02,어이없는 결말 선생보다 최악이 염정아 인데 용서 하고 행복하게 잘살았습니다.   최악의 엔딩
레모노이드,2023.09.26. 17:04,ㅇㅇ
닉네임,2023.09.01. 15:47,스카이캐슬 여태 미루고 안보다가 이제서야 봤네요. 너무 너무 재미있네요. 대본이 너무 탄탄해요. 연기들도 각자의 배역에 맞게 너무 잘하시고. 그런데 20회차를 다 채우려다보니 후반부가 너무 지루해졌어요. 18회차로 했으면 더 좋았을걸 하는 아쉬움이 듭니다. 다들 너무 고생 많으셨어요. 좋은 작품 만들어 주셔서 감사합니다.
심이,2023.08.11. 20:51,아니 저기나오는 사람들 다 별로긴한데 난 새로이사온 작가가 더싫다 왜 갑자기 나타나서 남의비극적인집안 얘기를 동의도 없이 혼자쿨한척 착한척 정의로운척글쓴다고 난리치는지..너무싫다
jun,2023.08.11. 00:04,중1 겨울방학 시절봤는데 이젠 수능 97일 남은 고3이되었네...
1942,2023.08.07. 00:51,정시로 가라 내신조작 내새끼 중요하며 남의새끼 중요한줄도 알아라
jin,2023.08.01. 02:35,ㅎㅇ
kcmi****,2023.07.15. 15:38,중간까지만 봐라..
치즈스,2023.07.13. 18:09,ㅋㅋㅋ메이플시럽 많이 줬다
치즈스,2023.07.13. 17:55,올만에 보니 잼있다 ㅋ
치즈스,2023.07.13. 17:49,이수임은 너무 나댄다  오지랖
난알지,2023.07.13. 13:12,이수임은 너무 나댄다  오지랖
난알지,2023.07.13. 13:11,헤나야
son,2023.07.07. 11:18,잊지 않을께요...스카이 캐슬 드라마
son,2023.07.07. 11:18,모든 배우님들 고생하셨습니다^^
son,2023.07.07. 11:17,감사드려요...
son,2023.07.07. 11:17,종이달 닥차숙 활약하셨찌요 ㅎㅎ
son,2023.07.07. 11:17,김서형 김병철 배우님 당연코 당신들은 믿고 보는 배우님들 당신들이 있어 행복합니다.
son,2023.07.07. 11:15,또 다시 보구 싶은 드라마이다
son,2023.07.07. 11:15,요즘 시대를 너무 잘 표현한 드라마
정미,2023.07.06. 23:09,진짜  막방 거지발싸개
xy xx,2023.07.06. 14:25,엔딩 용두사미 ㅋㅋ 재벌집도 그렇고 시청률이 참 ..
이중인격호가,2023.07.06. 13:27,또 재방하네
신씨,2023.06.29. 15:19,지금 떠돌아다니는 대치동 카르텔 이슈를 보니 이 드라마가 조만간 다큐멘터리가 될지도 모릅니다.
이소금,2023.05.26. 17:12,출첵
빵,2023.05.03. 16:50,찐찐 잼나요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
밤송이 속에,2023.05.02. 16:28,진짜 이 드라마 너무 맘에들어!!!!
ay,2023.04.30. 18:16,엔딩이 넘느 소름이라 여운이 남네요.. 김주영은 정신을 못차린건가.. 아님 옛날을 회상하는건가.. 아 복잡해요.. 그리고 우주 자퇴는 이해가 안되네요.. 현실적으로 고졸업증도 없이 이 세상을 살 수가 있나요.. 아빠가 돈이 많아서 상관 없나.. 애들 공부 너무 많이 시키는건 너무 한건데.. 요즘 애들이 공부 의지가지고 하는애들이 몇이나 되는지 궁금하네요.. 한국 교육 시스템 자체가 치열이 경쟁 안하면 못살게 하는데.. 극적으로 전과 비교를 하려고 사건 후 결말이 좀 현실성이 떨어져요.. 억지로 해피엔딩 한 느낌..
보담,2023.04.26. 20:26,"도대체 마지막 엔딩이 왜 저래야만 한걸까 /..결국 아무것도 바뀐게 없고 다시 돌고도는 현실을 표현한것같은데 그렇다고 비판하는 뉘앙스가 아니라 어쩔건데 느낌이라 참 그렇다 ㅜ 전체적인 스토리 구성 나름 재밌게봤는데 왜 마지막이 저래야만 하는건지, 2를 만들고싶었던걸까"
빼빼로,2023.04.24. 21:16,염정화선생님~역시 연기쩌네요.5만원만입금해주세요
산악인,2023.04.21. 18:17,우주 자퇴 종이비행기
산악인,2023.04.21. 18:16,피라미드 논리 현실에서 하먼
산악인,2023.04.21. 18:16,가장 컵라면 진짜 ㅋㅋ
산악인,2023.04.21. 18:15,이ㅜ드라마가 엔딩 구린거 시초
산악인,2023.04.21. 18:15,20부작이 실수다
악형장래희망,2023.04.16. 23:35,시험 힘내자
전명준,2023.03.25. 23:05,예서쨩
than****,2023.03.13. 17:09,한서진이   딸 고액과외비  받을려고  시어머니한테 까지 가서  돈 해달라는 걸 보면  과외비가   수십억~수백억 되나보다 근데  메니저도 있고 사무실도 있고 두명만  합격 시키는걸 보면  수십억이 아니고 수백억인듯
iamk****,2023.03.12. 14:49,김병철님  ㅋㅋ  미스터션샤인이랑  너무  대조 된다  ㅎㅎ   사랑합니다 ^^
꿍꿍이가있구나,2023.03.04. 13:27,5년만에 다시 정주행 ㅋㅋㅋ 역시 명작은 다시 봐도 재밌네
정수연,2023.03.01. 05:52,5화까지 봤는데 개재밌노
산악인,2023.02.27. 01:21,마누라한테 잘해야 함
산악인,2023.02.27. 01:21,정준호 연기 잘했구나 근데 하나도 안불쌍
